policy_id,effective_date,expiration_date,cancellation_date,in_force,exposure,driver_age,vehicle_age,province,vehicle_make,body_type,horsepower,vehicle_color,vehicle_transmission,claim_counts,loss_amt,player_id,commercial_premium
AUTO-TPL-22DD1B6567,14/02/2023,14/02/2024,,true,1.0,64,7,NJ,Chevrolet,lightcomm,41,blue,manual,0,0.0,1,453.6142
AUTO-TPL-EF54B27549,29/05/2023,28/05/2024,03/09/2023,false,0.26575342465753427,24,12,RI,other,pickup,141,red,automatic,0,0.0,1,423.3155
AUTO-TPL-EBEDC14CEB,01/03/2023,29/02/2024,,true,1.0,68,19,HA,Chevrolet,sedan,130,black,manual,2,1864.9939,1,336.0516
AUTO-TPL-8C077B9558,07/01/2023,07/01/2024,,true,1.0,19,2,JZ,KIA,4x4,112,silver,manual,1,4369.4781,1,1039.1768
AUTO-TPL-BF48530964,06/02/2023,06/02/2024,,true,1.0,38,17,RI,other,pickup,130,silver,automatic,0,0.0,1,423.3155
AUTO-TPL-0E1682A99B,05/09/2023,04/09/2024,,true,1.0,33,5,RI,Chevrolet,sedan,86,white,manual,0,0.0,1,223.9001
AUTO-TPL-C88E8652AD,15/12/2023,14/12/2024,,true,1.0,44,0,JZ,Isuzu,pickup,44,white,manual,0,0.0,1,633.9535
AUTO-TPL-E009D7782B,27/05/2023,26/05/2024,,true,1.0,20,9,RI,Ford,sedan,112,white,manual,0,0.0,1,223.9001
AUTO-TPL-B8DF08BF35,31/05/2023,30/05/2024,,true,1.0,41,8,SH,Hyundai,heavycomm,112,silver,automatic,0,0.0,1,580.8731
AUTO-TPL-32C378DBB6,09/02/2023,09/02/2024,,true,1.0,84,14,RI,Chevrolet,sedan,40,grey,automatic,0,0.0,1,219.79
AUTO-TPL-87B26C88C1,11/07/2023,10/07/2024,,true,1.0,46,2,RI,Toyota,sedan,63,white,manual,0,0.0,1,223.9001
AUTO-TPL-AC4429361B,05/11/2023,04/11/2024,,true,1.0,36,1,AS,Chevrolet,heavycomm,80,black,automatic,0,0.0,1,549.9628
AUTO-TPL-B5D453E7C2,10/09/2023,09/09/2024,,true,1.0,46,4,NJ,Toyota,pickup,130,white,automatic,1,6974.3836,1,482.3257
AUTO-TPL-B68B1D3BCD,11/04/2023,10/04/2024,,true,1.0,86,14,HA,Toyota,lightcomm,40,grey,automatic,0,0.0,1,586.5646
AUTO-TPL-83C7E14965,28/08/2023,27/08/2024,,true,1.0,33,17,BA,KIA,4x4,64,white,automatic,0,0.0,1,443.6096
AUTO-TPL-ED31FB90EC,06/05/2023,05/05/2024,,true,1.0,31,5,MK,Toyota,sedan,113,white,manual,0,0.0,1,388.9592
AUTO-TPL-7FF382E05D,03/08/2023,02/08/2024,,true,1.0,43,19,HA,Ford,sedan,40,blue,manual,0,0.0,1,336.0516
AUTO-TPL-C5B67C178A,30/11/2023,29/11/2024,,true,1.0,27,17,NJ,Ford,sedan,113,black,automatic,0,0.0,1,250.4287
AUTO-TPL-4E1AB12C67,26/11/2023,25/11/2024,04/11/2024,false,0.9424657534246575,37,1,MK,Ford,sedan,112,blue,manual,0,0.0,1,388.9592
AUTO-TPL-11643A3336,02/03/2023,01/03/2024,05/11/2023,false,0.6794520547945205,32,1,QS,Chevrolet,sedan,113,white,automatic,0,0.0,1,327.3772
AUTO-TPL-9EC96A40EA,12/04/2023,11/04/2024,28/01/2024,false,0.7972602739726027,18,17,MK,Toyota,sedan,110,black,automatic,0,0.0,1,381.8192
AUTO-TPL-76EB00356B,20/05/2023,19/05/2024,,true,1.0,48,0,HA,Chevrolet,lightcomm,40,blue,automatic,0,0.0,1,586.5646
AUTO-TPL-12E064D9F6,23/09/2023,22/09/2024,,true,1.0,68,14,MK,Ford,lightcomm,91,white,manual,0,0.0,1,691.6084
AUTO-TPL-A4242BE9F9,29/08/2023,28/08/2024,,true,1.0,47,13,BA,Chevrolet,sedan,40,white,automatic,0,0.0,1,140.5117
AUTO-TPL-93BCBA3B4B,09/06/2023,08/06/2024,,true,1.0,84,3,QS,Chevrolet,lightcomm,134,blue,manual,0,0.0,1,592.9949
AUTO-TPL-157581677F,07/03/2023,06/03/2024,,true,1.0,57,8,AS,Ford,sedan,148,silver,automatic,0,0.0,1,231.5048
AUTO-TPL-FA64E99A7D,30/12/2023,29/12/2024,,true,1.0,18,0,RI,Ford,heavycomm,113,white,manual,0,0.0,1,531.897
AUTO-TPL-03D1477267,24/06/2023,23/06/2024,,true,1.0,19,19,NJ,Toyota,sedan,74,blue,automatic,0,0.0,1,250.4287
AUTO-TPL-96E0DE96A7,19/11/2023,18/11/2024,,true,1.0,45,0,AS,Ford,4x4,59,white,automatic,0,0.0,1,730.8838
AUTO-TPL-F3A6A34274,08/08/2023,07/08/2024,,true,1.0,41,2,AS,Toyota,sedan,106,other,manual,0,0.0,1,235.8339
AUTO-TPL-065EBD91A5,13/02/2023,13/02/2024,,true,1.0,49,7,SH,Chevrolet,4x4,137,blue,automatic,0,0.0,1,771.9626
AUTO-TPL-7C19A51EC1,24/03/2023,23/03/2024,,true,1.0,24,0,RI,KIA,heavycomm,44,black,manual,0,0.0,1,531.897
AUTO-TPL-92D644A286,09/04/2023,08/04/2024,,true,1.0,29,1,NJ,Toyota,heavycomm,91,silver,automatic,1,224.165,1,594.9185
AUTO-TPL-FF214F0790,05/09/2023,04/09/2024,,true,1.0,36,8,MD,Hyundai,4x4,145,blue,manual,0,0.0,1,950.6054
AUTO-TPL-2203AB3C55,29/01/2023,29/01/2024,,true,1.0,45,0,JZ,Chevrolet,sedan,112,black,automatic,0,0.0,1,323.1133
AUTO-TPL-A6A28023AF,04/06/2023,03/06/2024,,true,1.0,64,11,JZ,Toyota,sedan,131,blue,automatic,0,0.0,1,323.1133
AUTO-TPL-47560A629F,21/06/2023,20/06/2024,,true,1.0,46,5,RI,other,pickup,90,blue,manual,0,0.0,1,431.2315
AUTO-TPL-67E0E8DD2A,17/10/2023,16/10/2024,,true,1.0,42,4,HA,Isuzu,sedan,56,red,manual,0,0.0,1,336.0516
AUTO-TPL-80208309B0,25/07/2023,24/07/2024,,true,1.0,18,0,SH,Hyundai,lightcomm,145,black,automatic,0,0.0,1,434.7746
AUTO-TPL-3091C8D65C,02/05/2023,01/05/2024,,true,1.0,40,15,RI,other,lightcomm,74,black,manual,0,0.0,1,398.1167
AUTO-TPL-783D70EA30,10/04/2023,09/04/2024,,true,1.0,49,10,JZ,Ford,heavycomm,140,other,automatic,0,0.0,1,767.5879
AUTO-TPL-84AC1A7B18,03/07/2023,02/07/2024,,true,1.0,34,0,JZ,Toyota,4x4,113,other,manual,0,0.0,1,1039.1768
AUTO-TPL-DF65F44D22,24/06/2023,23/06/2024,,true,1.0,19,10,NJ,other,4x4,113,black,manual,1,400.3914,1,805.4133
AUTO-TPL-C1F9EACA78,05/11/2023,04/11/2024,,true,1.0,22,1,JZ,Isuzu,sedan,71,red,automatic,0,0.0,1,323.1133
AUTO-TPL-41B19CCD81,29/11/2023,28/11/2024,,true,1.0,36,18,RI,Toyota,lightcomm,40,other,automatic,0,0.0,1,390.8086
AUTO-TPL-24427F73A1,30/04/2023,29/04/2024,16/08/2023,false,0.2958904109589041,34,1,MD,Hyundai,heavycomm,146,white,manual,0,0.0,1,715.2951
AUTO-TPL-8345949A0D,10/05/2023,09/05/2024,,true,1.0,40,20,MK,KIA,lightcomm,146,red,manual,0,0.0,1,691.6084
AUTO-TPL-60445AA336,24/08/2023,23/08/2024,,true,1.0,57,17,SH,Hyundai,lightcomm,110,white,manual,0,0.0,1,442.9049
AUTO-TPL-167AB4A6EC,25/04/2023,24/04/2024,,true,1.0,79,19,RI,KIA,4x4,40,other,automatic,0,0.0,1,693.899
