policy_id,effective_date,expiration_date,cancellation_date,in_force,exposure,driver_age,vehicle_age,province,vehicle_make,body_type,horsepower,vehicle_color,vehicle_transmission,claim_counts,loss_amt,player_id,commercial_premium
AUTO-TPL-7593EDA4C5,02/02/2023,02/02/2024,,true,1.0,41,0,AS,Toyota,sedan,40,black,manual,0,0.0,3,321.4142
AUTO-TPL-8CBB113C0C,04/05/2023,03/05/2024,,true,1.0,20,3,BA,other,sedan,93,white,manual,0,0.0,3,181.5804
AUTO-TPL-4D7E56AAF4,17/05/2023,16/05/2024,,true,1.0,42,1,JF,Chevrolet,4x4,115,other,manual,0,0.0,3,652.6503
AUTO-TPL-02EE19D70A,08/01/2023,08/01/2024,,true,1.0,24,20,RI,other,heavycomm,147,black,automatic,0,0.0,3,469.7879
AUTO-TPL-9BA0874C9A,23/02/2023,23/02/2024,07/06/2023,false,0.28493150684931506,38,1,AS,other,lightcomm,113,white,manual,0,0.0,3,625.9542
AUTO-TPL-D892BF80D4,26/05/2023,25/05/2024,08/01/2024,false,0.6219178082191781,89,0,NJ,Isuzu,lightcomm,87,grey,manual,0,0.0,3,542.1811
AUTO-TPL-3C3611A640,09/10/2023,08/10/2024,,true,1.0,78,4,SH,Toyota,4x4,101,red,automatic,0,0.0,3,738.1164
AUTO-TPL-75CA3E5179,21/07/2023,20/07/2024,,true,1.0,18,0,RI,Toyota,lightcomm,112,grey,manual,1,807.6672,3,426.109
AUTO-TPL-1FEB52E4D4,13/05/2023,12/05/2024,,true,1.0,78,2,JZ,Mercedes,lightcomm,183,silver,manual,0,0.0,3,560.4186
AUTO-TPL-A2A0EC0844,02/02/2023,02/02/2024,,true,1.0,48,1,SH,Isuzu,heavycomm,116,blue,automatic,2,285.9702,3,555.3832
AUTO-TPL-EFFAC7B428,12/09/2023,11/09/2024,,true,1.0,25,7,RI,Chevrolet,lightcomm,98,white,automatic,0,0.0,3,435.0715
AUTO-TPL-3A29159117,10/04/2023,09/04/2024,,true,1.0,48,11,NJ,Chevrolet,lightcomm,40,white,automatic,0,0.0,3,553.585
